скважина;ствол;название_залежи;месяц;год;закачка_воды_технологическая_м3;приемистость_тех__расчетная;закачка_технологическая_с_начала_эксплуатации_м3;время_работы_с_начала_эксплуатации_сут
918;1;Тульский пласт Тл2б;9;1988;3;3;3;1
918;1;Тульский пласт Тл2б;10;1988;105;3;108;32
918;1;Тульский пласт Тл2б;11;1988;92;3;200;62
918;1;Тульский пласт Тл2б;12;1988;95;3;295;93
927;1;Тульский пласт Тл2б;1;1988;582;19;11941;427
927;1;Тульский пласт Тл2б;2;1988;581;20;12522;456
927;1;Тульский пласт Тл2б;3;1988;738;24;13260;487
927;1;Тульский пласт Тл2б;4;1988;389;13;13649;517
927;1;Тульский пласт Тл2б;5;1988;346;11;13995;548
927;1;Тульский пласт Тл2б;6;1988;679;23;14674;578
927;1;Тульский пласт Тл2б;7;1988;710;23;15384;609
927;1;Тульский пласт Тл2б;8;1988;694;22;16078;640
927;1;Тульский пласт Тл2б;9;1988;666;22;16744;670
927;1;Тульский пласт Тл2б;10;1988;756;24;17500;701
927;1;Тульский пласт Тл2б;11;1988;664;22;18164;731
927;1;Тульский пласт Тл2б;12;1988;681;22;18845;762
902;1;Тульский пласт Тл2б;1;1988;2021;65;10109;95
902;1;Тульский пласт Тл2б;2;1988;2017;70;12126;124
902;1;Тульский пласт Тл2б;3;1988;2560;83;14686;155
902;1;Тульский пласт Тл2б;4;1988;1621;54;16307;185
902;1;Тульский пласт Тл2б;5;1988;1440;46;17747;216
902;1;Тульский пласт Тл2б;6;1988;2829;94;20576;246
902;1;Тульский пласт Тл2б;7;1988;657;21;21233;277
902;1;Тульский пласт Тл2б;8;1988;642;21;21875;308
902;1;Тульский пласт Тл2б;9;1988;616;21;22491;338
902;1;Тульский пласт Тл2б;10;1988;699;23;23190;369
902;1;Тульский пласт Тл2б;11;1988;615;21;23805;399
902;1;Тульский пласт Тл2б;12;1988;630;20;24435;430
912;1;Тульский пласт Тл2б;10;1988;1749;56;1749;31
912;1;Тульский пласт Тл2б;11;1988;1538;51;3287;61
912;1;Тульский пласт Тл2б;12;1988;1577;51;4864;92
756;1;Тульский пласт Тл2б;6;1988;7;7;7;1
756;1;Тульский пласт Тл2б;7;1988;214;7;221;32
756;1;Тульский пласт Тл2б;8;1988;209;7;430;63
756;1;Тульский пласт Тл2б;9;1988;200;7;630;93
